longitude,latitude,date,value
-57.047348,-11.364493,2009-03-22,0.4924
-57.047348,-11.364493,2009-04-07,0.537
-57.047348,-11.364493,2009-04-23,0.5191
-57.047348,-11.364493,2009-05-09,0.4654
-57.047348,-11.364493,2009-05-25,0.438
-57.047348,-11.364493,2009-06-10,0.3796
-57.047348,-11.364493,2009-06-26,0.3649
-57.047348,-11.364493,2009-07-12,0.363
-57.047348,-11.364493,2009-07-28,0.359
-57.047348,-11.364493,2009-08-13,0.3746
-57.047348,-11.364493,2009-08-29,0.3878
-57.047348,-11.364493,2009-09-14,0.3896
-57.047348,-11.364493,2009-09-30,0.3646
-57.047348,-11.364493,2009-10-16,0.4629
-57.047348,-11.364493,2009-11-01,0.5217
-57.047348,-11.364493,2009-11-17,0.3303
-57.047348,-11.364493,2009-12-03,0.4354
-57.047348,-11.364493,2009-12-19,0.8038
-57.047348,-11.364493,2010-01-01,0.3092
-57.047348,-11.364493,2010-01-17,0.5993
-57.047348,-11.364493,2010-02-02,0.571
-57.047348,-11.364493,2010-02-18,0.3871
-57.047348,-11.364493,2010-03-06,0.5264
-57.047348,-11.364493,2010-03-22,0.471
-57.047348,-11.364493,2010-04-07,0.4823
-57.047348,-11.364493,2010-04-23,0.4111
-57.047348,-11.364493,2010-05-09,0.4408
-57.047348,-11.364493,2010-05-25,0.4055
-57.047348,-11.364493,2010-06-10,0.4322
-57.047348,-11.364493,2010-06-26,0.3552
-57.047348,-11.364493,2010-07-12,0.3818
-57.047348,-11.364493,2010-07-28,0.3536
-57.047348,-11.364493,2010-08-13,0.33
-57.047348,-11.364493,2010-08-29,0.3176
-57.047348,-11.364493,2010-09-14,0.3113
-57.047348,-11.364493,2010-09-30,0.3669
-57.047348,-11.364493,2010-10-16,0.3131
-57.047348,-11.364493,2010-11-01,0.5615
-57.047348,-11.364493,2010-11-17,0.4269
-57.047348,-11.364493,2010-12-03,0.5103
-57.047348,-11.364493,2010-12-19,0.4706
